PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Prop_Addr,latitude,longitude
909176150,856,126000,30,RL,68.0,7890,Pave,3,Lvl,3,Corner,2,SWISU,Norm,Norm,1Fam,1Story,6,6,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,3,3,1,3,238.0,1,0.0,618.0,856.0,GasA,2,Y,4,856,0,0,1.0,0.0,1,0,2,1,2,4,7,1,4,Detchd,1939.0,1,2.0,399.0,3,3,2,0,0,0,0,166,0,0,0,3,2010,WD ,Normal,"436 HAYWARD AVE, Ames, USA",42.01856448979592,-93.65161918367347
905476230,1049,139500,120,RL,42.0,4235,Pave,3,Lvl,3,Inside,2,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,BrkFace,149.0,3,2,CBlock,4,3,2,6,552.0,5,393.0,104.0,1049.0,GasA,2,Y,4,1049,0,0,1.0,0.0,2,0,2,1,3,5,7,0,0,Attchd,1984.0,3,1.0,266.0,3,3,2,0,105,0,0,0,0,0,0,2,2009,WD ,Normal,"3416 WEST ST, Ames, USA",42.02485531593042,-93.66367099341755
905476230,1049,139500,120,RL,42.0,4235,Pave,3,Lvl,3,Inside,2,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,BrkFace,149.0,3,2,CBlock,4,3,2,6,552.0,5,393.0,104.0,1049.0,GasA,2,Y,4,1049,0,0,1.0,0.0,2,0,2,1,3,5,7,0,0,Attchd,1984.0,3,1.0,266.0,3,3,2,0,105,0,0,0,0,0,0,2,2009,WD ,Normal,"3416 WEST ST, Ames, USA",42.02485531593042,-93.66367099341755
911128020,1001,124900,30,C (all),60.0,6060,Pave,3,Lvl,3,Inside,2,IDOTRR,Norm,Norm,1Fam,1Story,5,9,1930,2007,Hip,CompShg,MetalSd,MetalSd,None,0.0,3,2,BrkTil,3,3,1,5,737.0,1,0.0,100.0,837.0,GasA,4,Y,4,1001,0,0,0.0,0.0,1,0,2,1,3,5,7,0,0,Detchd,1930.0,1,1.0,216.0,3,1,0,154,0,42,86,0,0,0,0,11,2007,WD ,Normal,"320 S 2ND ST, Ames, USA",42.021547615297024,-93.61406809992512
535377150,1039,114000,70,RL,80.0,8146,Pave,3,Lvl,3,Corner,2,OldTown,Norm,Norm,1Fam,2Story,4,8,1900,2003,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,2,3,1,1,0.0,1,0.0,405.0,405.0,GasA,3,Y,4,717,322,0,0.0,0.0,1,0,2,1,2,6,7,0,0,Detchd,1940.0,1,1.0,281.0,3,3,0,0,0,168,0,111,0,0,0,5,2009,WD ,Normal,"1524 DOUGLAS AVE, Ames, USA",42.03739146938776,-93.61220695918368
534177230,1665,227000,60,RL,70.0,8400,Pave,3,Lvl,3,Inside,2,NWAmes,Norm,Norm,1Fam,2Story,8,6,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,1,6,643.0,1,0.0,167.0,810.0,GasA,4,Y,4,810,855,0,1.0,0.0,2,1,3,1,3,6,7,0,0,Attchd,2001.0,3,2.0,528.0,3,3,2,0,45,0,0,0,0,0,0,11,2009,WD ,Normal,"2304 FILLMORE AVE, Ames, USA",42.04455376067282,-93.63181831620726
908128060,1922,198500,85,RL,64.0,7301,Pave,3,Lvl,3,Corner,2,Edwards,Norm,Norm,1Fam,SFoyer,7,5,2003,2003,Gable,CompShg,HdBoard,HdBoard,BrkFace,500.0,3,2,Slab,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,4,Y,4,495,1427,0,0.0,0.0,3,0,4,1,3,7,7,1,5,BuiltIn,2003.0,2,2.0,672.0,3,3,2,0,0,177,0,0,0,0,0,7,2009,ConLD,Normal,"4003 MARIGOLD DR, Ames, USA",42.018988,-93.6715721070941
902135020,936,93000,20,RM,60.0,6000,Pave,3,Bnk,3,Inside,1,OldTown,Norm,Norm,2fmCon,1Story,4,4,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0.0,1,2,CBlock,2,3,1,1,0.0,1,0.0,936.0,936.0,GasA,2,N,4,936,0,0,0.0,0.0,1,0,2,1,2,4,5,0,0,Detchd,1974.0,1,2.0,576.0,3,3,2,0,32,112,0,0,0,0,0,2,2009,WD ,Normal,"212 10TH ST 210, Ames, USA",42.031162,-93.61256091846626
528228540,1246,187687,20,RL,53.0,3710,Pave,3,Lvl,3,Inside,2,Blmngtn,Norm,Norm,1Fam,1Story,7,5,2007,2008,Gable,CompShg,WdShing,Wd Shng,BrkFace,20.0,3,2,PConc,4,3,4,1,0.0,1,0.0,1146.0,1146.0,GasA,4,Y,4,1246,0,0,0.0,0.0,2,0,2,1,3,5,7,1,4,Attchd,2007.0,3,2.0,428.0,3,3,2,100,24,0,0,0,0,0,0,3,2008,New,Partial,"2431 LAKESIDE DR, Ames, USA",42.063308,-93.64230583853364
923426010,889,137500,20,RL,74.0,12395,Pave,3,Lvl,3,Corner,2,Mitchel,Norm,Norm,1Fam,1Story,5,6,1984,1984,Gable,CompShg,HdBoard,Plywood,None,0.0,2,2,CBlock,3,3,1,5,647.0,1,0.0,217.0,864.0,GasA,2,Y,4,889,0,0,0.0,0.0,1,0,3,1,2,6,7,0,0,Attchd,1984.0,1,2.0,484.0,3,3,2,0,0,0,0,0,0,0,0,4,2008,WD ,Normal,"602 KEN MARIL RD, Ames, USA",41.98649573595674,-93.6036188257733
908186050,1072,140000,180,RM,35.0,3675,Pave,3,Lvl,3,Inside,2,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,2,2,PConc,4,3,4,6,467.0,1,0.0,80.0,547.0,GasA,4,Y,4,1072,0,0,1.0,0.0,1,0,2,1,3,5,7,0,0,Basment,2005.0,3,2.0,525.0,3,3,2,0,44,0,0,0,0,0,0,5,2007,WD ,Normal,"3901 MARIGOLD DR, Ames, USA",42.018963681474496,-93.67006654263754
528186170,1342,219500,120,RL,48.0,6240,Pave,3,Lvl,3,Inside,2,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,196.0,3,2,PConc,4,3,1,6,24.0,1,0.0,1318.0,1342.0,GasA,4,Y,4,1342,0,0,0.0,0.0,2,0,2,1,3,6,7,1,4,Attchd,2007.0,2,2.0,550.0,3,3,2,0,35,0,0,0,0,0,0,2,2008,WD ,Normal,"3629 CHILTON AVE, Ames, USA",,
923426070,1274,136000,60,RL,63.0,10475,Pave,3,Lvl,3,Inside,2,Mitchel,Norm,Norm,1Fam,2Story,5,5,1991,1991,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,2,PConc,4,3,1,3,458.0,1,0.0,166.0,624.0,GasA,3,Y,4,624,650,0,0.0,0.0,1,1,3,1,2,6,7,0,0,Detchd,1993.0,1,2.0,576.0,3,3,2,22,0,0,0,0,0,2,0,3,2010,WD ,Normal,"700 KEN MARIL RD, Ames, USA",41.98649987838884,-93.60213991860324
902204080,861,80000,30,RM,62.0,7404,Pave,3,Lvl,3,Corner,2,OldTown,Norm,Norm,1Fam,1Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,BrkTil,2,3,1,1,0.0,1,0.0,861.0,861.0,GasA,2,Y,4,861,0,0,0.0,0.0,1,0,2,1,2,5,7,0,0,Detchd,1920.0,1,2.0,288.0,3,3,0,0,0,128,0,0,0,0,0,11,2009,Oth,Normal,"1102 CARROLL AVE, Ames, USA",42.039218,-93.609681
535105100,1394,159000,20,RL,68.0,9500,Pave,2,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,2,2,CBlock,4,3,1,4,609.0,1,0.0,785.0,1394.0,GasA,3,Y,4,1394,0,0,1.0,0.0,1,1,3,1,2,6,7,2,4,Attchd,1963.0,2,2.0,514.0,3,3,2,0,76,0,0,185,0,0,0,7,2009,WD ,Normal,"2519 KELLOGG AVE, Ames, USA",42.04690161396658,-93.61572103026556
907405020,1536,214000,20,RL,70.0,9135,Pave,3,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,3,2,PConc,4,3,3,6,810.0,1,0.0,726.0,1536.0,GasA,4,Y,4,1536,0,0,1.0,0.0,2,0,3,1,3,7,7,0,0,Attchd,2002.0,2,2.0,532.0,3,3,2,192,74,0,0,0,0,0,0,12,2008,WD ,Normal,"812 TENNYSON AVE, Ames, USA",42.01590809090909,-93.6876522121212
531382110,1680,163000,60,RL,50.0,8480,Pave,2,Lvl,3,Inside,2,SawyerW,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,3,2,PConc,4,3,1,6,602.0,1,0.0,284.0,886.0,GasA,4,Y,4,886,794,0,0.0,1.0,2,1,3,1,3,7,7,0,0,Attchd,1993.0,2,2.0,474.0,3,3,2,144,96,0,0,0,0,0,0,10,2008,WD ,Normal,"5220 MARYLAND ST, Ames, USA",42.03586941394644,-93.68920687419867
906380120,1274,203000,20,RL,68.0,8814,Pave,3,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,80.0,3,2,PConc,4,3,1,6,925.0,1,0.0,349.0,1274.0,GasA,4,Y,4,1274,0,0,1.0,0.0,2,0,3,1,3,6,7,0,0,Attchd,2005.0,2,2.0,508.0,3,3,2,264,98,0,0,0,0,0,0,1,2007,New,Partial,"319 HARTFORD DR, Ames, USA",42.02481975297594,-93.68911130789051
909101060,864,67000,30,RL,45.0,8248,Pave,3,Lvl,3,Inside,2,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,1950,Gable,CompShg,Stucco,Stucco,None,0.0,2,2,BrkTil,3,3,1,4,41.0,1,0.0,823.0,864.0,GasA,2,N,2,864,0,0,1.0,0.0,1,0,2,1,2,5,7,0,0,NA,-1.0,0,0.0,0.0,0,0,0,0,0,100,0,0,0,0,0,9,2008,WD ,Normal,"2910 WOOD ST, Ames, USA",42.02208247765018,-93.65692684113984
534152050,1610,205000,20,RL,68.0,10603,Pave,2,Lvl,3,Inside,2,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2001,Gable,CompShg,Plywood,Plywood,BrkFace,28.0,2,2,PConc,3,3,2,5,1200.0,1,0.0,410.0,1610.0,GasA,3,Y,4,1610,0,0,1.0,0.0,2,0,3,1,3,6,7,2,3,Attchd,1977.0,2,2.0,480.0,3,3,2,168,68,0,0,0,0,0,0,2,2010,WD ,Normal,"2102 PRAIRIE VIEW EAST, Ames, USA",42.04331646337044,-93.63727919577092
923252075,1091,131250,80,RL,62.0,7706,Pave,3,Lvl,3,Inside,2,Mitchel,Norm,Norm,1Fam,SLvl,6,5,1993,1996,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,3,CBlock,4,3,3,3,114.0,6,270.0,0.0,384.0,GasA,4,Y,4,1091,0,0,0.0,1.0,1,0,2,1,2,5,7,0,0,Attchd,1993.0,3,1.0,429.0,3,3,2,280,0,0,0,0,0,0,700,8,2009,WD ,Normal,"424 TEAGARDEN DR, Ames, USA",41.98752773737374,-93.6061805959596
531376060,1486,181000,20,RL,65.0,7441,Pave,2,Lvl,3,Inside,2,SawyerW,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,3,2,PConc,4,3,1,1,0.0,1,0.0,1461.0,1461.0,GasA,4,Y,4,1486,0,0,0.0,0.0,2,0,3,1,3,7,7,0,0,Attchd,2006.0,2,2.0,566.0,3,3,2,0,32,0,0,0,0,0,0,6,2007,WD ,Normal,"1514 CALIFORNIA AVE, Ames, USA",42.03717083511299,-93.69121204722514
902201120,789,115000,20,RM,50.0,6000,Pave,3,Lvl,3,Inside,2,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,CBlock,3,3,1,5,104.0,4,169.0,516.0,789.0,GasA,4,Y,4,789,0,0,0.0,0.0,1,0,2,1,2,5,7,0,0,Detchd,1948.0,1,1.0,250.0,3,3,2,0,0,0,0,0,0,0,0,4,2008,WD ,Partial,"1216 CARROLL AVE, Ames, USA",42.039218,-93.609681
923228080,1092,98000,160,RM,21.0,1477,Pave,3,Lvl,3,Inside,2,MeadowV,Norm,Norm,Twnhs,2Story,6,9,1970,2007,Gable,CompShg,CemntBd,CmentBd,None,0.0,2,3,CBlock,3,3,1,6,358.0,1,0.0,188.0,546.0,GasA,4,Y,4,546,546,0,0.0,0.0,2,1,3,1,2,6,7,0,0,NA,-1.0,0,0.0,0.0,0,0,2,187,0,0,0,0,0,0,0,3,2008,WD ,Normal,"626 MEADOW PL, Ames, USA",41.99215551070729,-93.6030863886634
902326030,2640,265979,70,RM,65.0,11700,Pave,2,Lvl,3,Corner,2,OldTown,Norm,Norm,1Fam,2Story,7,7,1880,2003,Mansard,CompShg,Stucco,Stucco,None,0.0,3,2,Stone,3,2,1,1,0.0,1,0.0,1240.0,1240.0,GasW,2,N,4,1320,1320,0,0.0,0.0,1,1,4,1,3,8,7,1,4,Detchd,1950.0,1,4.0,864.0,3,3,0,181,0,386,0,0,0,0,0,5,2009,WD ,Normal,"829 DOUGLAS AVE, Ames, USA",42.02935814285714,-93.61228857142856
527451330,1092,105500,160,RM,21.0,1680,Pave,3,Lvl,3,Inside,2,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,2,2,CBlock,3,3,1,3,300.0,1,0.0,225.0,525.0,GasA,2,Y,4,525,567,0,0.0,0.0,1,1,3,1,2,6,7,0,0,Detchd,1997.0,1,1.0,320.0,3,3,2,0,0,0,0,0,0,0,0,3,2010,WD ,Normal,"1342 BARKLEY CT, Ames, USA",42.051676299375686,-93.62760442259348
528218100,1458,168165,60,RL,58.0,13204,Pave,2,Lvl,3,Inside,2,Gilbert,RRAn,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,44.0,2,2,PConc,4,3,1,1,0.0,1,0.0,608.0,608.0,GasA,4,Y,4,608,850,0,0.0,0.0,2,0,3,1,3,6,7,0,0,BuiltIn,2007.0,3,2.0,454.0,3,3,2,100,33,0,0,0,0,0,0,5,2007,New,Partial,"4205 CRESTMOOR AVE, Ames, USA",42.06219190471016,-93.64570992596713
916386140,1466,201000,20,RL,73.0,8925,Pave,2,HLS,3,Inside,2,Timber,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,3,6,16.0,1,0.0,1450.0,1466.0,GasA,4,Y,4,1466,0,0,0.0,0.0,2,0,3,1,3,7,7,0,0,Attchd,2007.0,3,3.0,610.0,3,3,2,100,18,0,0,0,0,0,0,7,2009,WD ,Normal,"3028 COTTONTAIL LN, Ames, USA",41.994931209457846,-93.650374
533221090,1573,177500,160,FV,68.0,2117,Pave,3,Lvl,3,Inside,2,Somerst,Norm,Norm,Twnhs,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,216.0,3,2,PConc,4,3,1,6,378.0,1,0.0,378.0,756.0,GasA,4,Y,4,769,804,0,0.0,0.0,2,1,3,1,3,5,7,0,0,Detchd,2000.0,1,2.0,440.0,3,3,2,0,32,0,0,0,0,0,0,6,2010,WD ,Normal,"2711 HAMPTON ST, Ames, USA",42.046150735023375,-93.6457721435571
534128010,2090,200000,60,RL,68.0,10382,Pave,2,Lvl,3,Corner,2,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,2,2,CBlock,4,3,2,5,859.0,4,32.0,216.0,1107.0,GasA,4,Y,4,1107,983,0,1.0,0.0,2,1,3,1,2,7,7,2,3,Attchd,1973.0,2,2.0,484.0,3,3,2,235,204,228,0,0,0,0,350,11,2009,WD ,Normal,"1636 JOHNSON ST, Ames, USA",42.04903420384354,-93.63264578650906
528106110,2046,450000,20,RL,105.0,15431,Pave,3,Lvl,3,Inside,2,NridgHt,Norm,Norm,1Fam,1Story,10,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,400.0,4,2,PConc,5,3,4,6,1430.0,1,0.0,564.0,1994.0,GasA,4,Y,4,2046,0,0,1.0,0.0,2,1,2,1,4,7,7,2,4,Attchd,2005.0,3,3.0,878.0,3,3,2,188,65,0,0,175,0,0,0,8,2007,WD ,Normal,"3331 WESTON DR, Ames, USA",42.06129117942748,-93.65753648637376
902206260,886,91300,30,RM,50.0,5784,Pave,3,Lvl,3,Inside,2,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,BrkTil,2,3,1,1,0.0,1,0.0,190.0,190.0,GasA,3,Y,3,886,0,0,0.0,0.0,1,0,2,1,2,4,7,0,0,Attchd,1938.0,1,1.0,273.0,3,3,2,144,20,80,0,0,0,0,0,12,2009,WD ,Normal,"926 DUFF AVE, Ames, USA",42.03109366137248,-93.61045453926472
528222090,1258,173500,20,RL,64.0,7697,Pave,3,Lvl,3,Inside,2,Gilbert,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,3,2,PConc,4,3,1,1,0.0,1,0.0,1246.0,1246.0,GasA,4,Y,4,1258,0,0,0.0,0.0,2,0,3,1,3,6,7,0,0,Attchd,2007.0,2,2.0,462.0,3,3,2,0,0,0,0,0,0,0,0,8,2007,New,Partial,"4302 WELBECK DR, Ames, USA",42.06322648533865,-93.64433362330249
528218150,1324,199500,20,RL,100.0,18494,Pave,2,Lvl,3,Corner,2,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,1,1,0.0,1,0.0,1324.0,1324.0,GasA,4,Y,4,1324,0,0,0.0,0.0,2,0,3,1,3,6,7,0,0,Attchd,2005.0,3,2.0,430.0,3,3,2,36,23,0,0,0,0,0,0,1,2010,WD ,Normal,"4103 CRESTMOOR AVE, Ames, USA",42.06188691068189,-93.64448387960196
903400180,1848,207000,50,RL,64.0,13053,Pave,3,Bnk,3,Inside,2,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1923,2000,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,BrkTil,3,3,1,1,0.0,1,0.0,833.0,833.0,GasA,3,Y,4,1053,795,0,0.0,0.0,1,1,4,1,3,8,7,1,4,Detchd,1922.0,1,2.0,370.0,3,3,0,0,0,0,0,220,0,0,0,6,2008,WD ,Normal,"816 BROOKRIDGE AVE, Ames, USA",42.02954372815348,-93.62737676136398
535453210,1269,155000,20,RL,70.0,7931,Pave,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,2,2,CBlock,3,3,1,4,374.0,2,532.0,363.0,1269.0,GasA,2,Y,3,1269,0,0,0.0,0.0,1,1,3,1,2,6,7,1,2,Detchd,1964.0,1,1.0,308.0,3,3,2,0,0,0,0,0,0,0,0,6,2008,WD ,Normal,"1522 MAXWELL AVE, Ames, USA",42.037273779743664,-93.60675880919582
916386010,1346,220000,20,RL,88.0,11896,Pave,2,Lvl,3,Corner,2,Timber,Norm,Norm,1Fam,1Story,7,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,60.0,3,2,PConc,4,3,1,6,78.0,1,0.0,1258.0,1336.0,GasA,4,Y,4,1346,0,0,1.0,0.0,2,0,3,1,3,6,7,1,3,Attchd,2008.0,3,3.0,660.0,3,3,2,100,48,0,0,0,0,0,0,5,2010,WD ,Normal,"3005 CEDAR LN, Ames, USA",41.99523381632653,-93.64923497959184
907181090,1749,196000,60,RL,68.0,9272,Pave,2,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,1,6,500.0,1,0.0,342.0,842.0,GasA,4,Y,4,856,893,0,0.0,0.0,2,1,3,1,3,7,7,0,0,Attchd,1999.0,2,2.0,515.0,3,3,2,140,85,0,0,0,0,0,0,6,2006,WD ,Normal,"5408 CERVANTES DR, Ames, USA",42.017335540535086,-93.69270120197211
