SalePrice,MSZoning,LotFrontage,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,Heating,HeatingQC,CentralAir,Electrical,BsmtFullBath,BsmtHalfBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageQual,PavedDrive,Fence,MoSold,YrSold,SaleType,SaleCondition,Remodeled,TotalBath,MSSubClass_cat,Street_type,LotArea_binned,MasVnrArea_binned,BsmtFinSF1_binned,BsmtFinSF2_binned,BsmtUnfSF_binned,TotalOutdoorSF_binned,Age_binned,RemodAge_binned,TotalSF_binned
126000,4.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,19.0,2.0,2.0,0.0,2.0,6,6,1.0,0.0,13.0,14.0,2.0,2,1.0,3,3,1,1.0,2,1.0,3.0,1.0,0.0,0,2,1,2,4,6.0,1,5.0,1,2.0,3,2.0,0,3,2010,9.0,4.0,1,2.0,6.0,0.0,5,0,1,0,7,1,11,2,1
139500,4.0,42.0,1.0,1.0,3.0,3.0,0.0,4.0,0.0,7.0,2.0,2.0,4.0,2.0,5,5,1.0,0.0,6.0,6.0,1.0,2,1.0,4,3,2,1.0,2,1.0,3.0,1.0,0.0,0,2,1,3,5,6.0,0,1.0,3,1.0,3,2.0,0,2,2009,9.0,4.0,0,3.0,0.0,10.0,1,1,4,1,1,1,5,1,4
124900,0.0,60.0,1.0,1.0,3.0,3.0,0.0,4.0,0.0,10.0,2.0,2.0,0.0,2.0,5,9,3.0,0.0,8.0,8.0,2.0,2,0.0,3,3,1,1.0,4,1.0,3.0,0.0,0.0,0,2,1,3,5,6.0,0,5.0,1,1.0,3,0.0,0,11,2007,9.0,4.0,1,1.0,6.0,10.0,2,0,5,0,1,3,11,0,2
114000,4.0,80.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,18.0,2.0,2.0,0.0,5.0,4,8,1.0,0.0,8.0,8.0,2.0,3,0.0,2,3,1,1.0,3,1.0,3.0,0.0,0.0,0,2,1,2,6,6.0,0,5.0,1,1.0,3,0.0,0,5,2009,9.0,4.0,1,1.0,11.0,0.0,6,0,0,0,4,3,12,0,0
227000,4.0,70.0,1.0,1.0,3.0,3.0,0.0,4.0,0.0,15.0,2.0,2.0,0.0,5.0,8,6,1.0,0.0,12.0,13.0,2.0,2,2.0,4,3,1,1.0,4,1.0,3.0,1.0,0.0,1,3,1,3,6,6.0,0,1.0,3,2.0,3,2.0,0,11,2009,9.0,4.0,0,3.5,10.0,0.0,6,0,4,0,2,0,2,0,8
198500,4.0,64.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,7.0,2.0,2.0,0.0,6.0,7,5,1.0,0.0,6.0,6.0,1.0,2,3.0,0,0,0,1.0,4,1.0,3.0,0.0,0.0,0,4,1,3,7,6.0,1,3.0,2,2.0,3,2.0,0,7,2009,3.0,4.0,0,3.0,14.0,4.0,4,4,0,0,0,2,2,0,3
93000,5.0,60.0,1.0,2.0,3.0,0.0,0.0,4.0,1.0,18.0,2.0,2.0,1.0,2.0,4,4,1.0,0.0,8.0,8.0,2.0,2,1.0,2,3,1,1.0,2,0.0,3.0,0.0,0.0,0,2,1,2,4,3.0,0,5.0,1,2.0,3,2.0,0,2,2009,9.0,4.0,0,1.0,5.0,10.0,2,0,0,0,9,1,9,2,3
187687,4.0,53.0,1.0,1.0,3.0,3.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,2.0,7,5,1.0,0.0,14.0,15.0,1.0,2,2.0,4,3,3,1.0,4,1.0,3.0,0.0,0.0,0,2,1,3,5,6.0,1,1.0,3,2.0,3,2.0,0,3,2008,6.0,5.0,1,2.0,5.0,4.0,1,0,0,0,9,1,0,0,7
137500,4.0,74.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,12.0,2.0,2.0,0.0,2.0,5,6,1.0,0.0,6.0,9.0,2.0,2,1.0,3,3,1,1.0,2,1.0,3.0,0.0,0.0,0,3,1,2,6,6.0,0,1.0,1,2.0,3,2.0,0,4,2008,9.0,4.0,0,1.0,5.0,9.0,15,0,4,0,2,0,4,1,2
140000,5.0,35.0,1.0,1.0,3.0,3.0,0.0,4.0,0.0,7.0,2.0,2.0,4.0,6.0,6,5,1.0,0.0,12.0,13.0,3.0,2,2.0,4,3,3,1.0,4,1.0,3.0,1.0,0.0,0,2,1,3,5,6.0,0,2.0,3,2.0,3,2.0,0,5,2007,9.0,4.0,0,2.0,3.0,4.0,1,0,3,0,1,0,0,0,1
219500,4.0,48.0,1.0,1.0,3.0,3.0,0.0,4.0,0.0,17.0,2.0,2.0,4.0,2.0,8,5,3.0,0.0,8.0,8.0,1.0,2,2.0,4,3,1,1.0,4,1.0,3.0,0.0,0.0,0,2,1,3,6,6.0,1,1.0,2,2.0,3,2.0,0,2,2008,9.0,4.0,1,2.0,0.0,0.0,3,2,1,0,10,0,0,0,10
136000,4.0,63.0,1.0,1.0,3.0,3.0,0.0,4.0,0.0,12.0,2.0,2.0,0.0,5.0,5,5,1.0,0.0,6.0,6.0,2.0,2,2.0,4,3,1,1.0,3,1.0,3.0,0.0,0.0,1,3,1,2,6,6.0,0,5.0,1,2.0,3,2.0,2,3,2010,9.0,4.0,0,1.5,10.0,9.0,12,0,3,0,2,0,4,1,3
80000,5.0,62.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,18.0,2.0,2.0,0.0,2.0,4,6,1.0,0.0,8.0,8.0,2.0,2,0.0,2,3,1,1.0,2,1.0,3.0,0.0,0.0,0,2,1,2,5,6.0,0,5.0,1,2.0,3,0.0,0,11,2009,7.0,4.0,1,1.0,6.0,0.0,4,0,0,0,8,1,12,2,1
159000,4.0,0.0,1.0,1.0,0.0,3.0,0.0,4.0,0.0,13.0,2.0,2.0,0.0,2.0,6,5,1.0,0.0,9.0,9.0,1.0,2,1.0,4,3,1,1.0,3,1.0,3.0,1.0,0.0,1,3,1,2,6,6.0,2,1.0,2,2.0,3,2.0,0,7,2009,9.0,4.0,0,2.5,5.0,0.0,9,3,4,0,8,2,8,2,10
214000,4.0,70.0,1.0,1.0,3.0,3.0,0.0,4.0,0.0,5.0,2.0,2.0,0.0,2.0,7,5,1.0,0.0,12.0,13.0,1.0,2,2.0,4,3,4,1.0,4,1.0,3.0,1.0,0.0,0,3,1,3,7,6.0,0,1.0,2,2.0,3,2.0,0,12,2008,9.0,4.0,1,3.0,5.0,0.0,8,1,6,0,7,2,2,0,12
163000,4.0,50.0,1.0,1.0,0.0,3.0,0.0,4.0,0.0,21.0,2.0,2.0,0.0,5.0,6,5,1.0,0.0,6.0,6.0,1.0,2,2.0,4,3,1,1.0,4,1.0,3.0,0.0,1.0,1,3,1,3,7,6.0,0,1.0,2,2.0,3,2.0,0,10,2008,9.0,4.0,1,3.0,10.0,10.0,7,1,4,0,3,2,4,1,9
203000,4.0,68.0,1.0,1.0,3.0,3.0,0.0,4.0,0.0,5.0,2.0,2.0,0.0,2.0,7,5,1.0,0.0,12.0,13.0,1.0,2,2.0,4,3,1,1.0,4,1.0,3.0,1.0,0.0,0,3,1,3,6,6.0,0,1.0,2,2.0,3,2.0,0,1,2007,6.0,5.0,1,3.0,5.0,4.0,8,0,6,0,4,3,0,0,8
67000,4.0,45.0,1.0,0.0,3.0,3.0,0.0,4.0,0.0,7.0,2.0,2.0,0.0,2.0,3,3,1.0,0.0,11.0,12.0,2.0,2,0.0,3,3,1,1.0,2,0.0,1.0,1.0,0.0,0,2,1,2,5,6.0,0,6.0,0,0.0,0,0.0,0,9,2008,9.0,4.0,1,2.0,6.0,10.0,6,0,1,0,8,1,12,2,1
205000,4.0,0.0,1.0,1.0,0.0,3.0,0.0,4.0,0.0,15.0,2.0,2.0,0.0,2.0,6,7,1.0,0.0,9.0,9.0,1.0,2,2.0,3,3,2,1.0,3,1.0,3.0,1.0,0.0,0,3,1,3,6,6.0,2,1.0,2,2.0,3,2.0,0,2,2010,9.0,4.0,1,3.0,5.0,5.0,12,0,7,0,5,2,6,1,13
130550,4.0,62.0,1.0,1.0,3.0,3.0,0.0,4.0,0.0,12.0,2.0,2.0,0.0,7.0,6,5,1.0,0.0,6.0,6.0,2.0,3,1.0,4,3,4,1.0,4,1.0,3.0,0.0,1.0,0,2,1,2,5,6.0,0,1.0,3,1.0,3,2.0,0,8,2009,9.0,4.0,1,1.5,13.0,4.0,5,0,1,0,0,3,4,1,0
181000,4.0,65.0,1.0,1.0,0.0,3.0,0.0,4.0,0.0,21.0,2.0,2.0,0.0,2.0,7,5,1.0,0.0,12.0,13.0,1.0,2,2.0,4,3,1,1.0,4,1.0,3.0,0.0,0.0,0,3,1,3,7,6.0,0,1.0,2,2.0,3,2.0,0,6,2007,9.0,4.0,0,2.0,5.0,0.0,4,2,0,0,10,0,0,0,11
115000,5.0,50.0,1.0,1.0,3.0,3.0,0.0,4.0,0.0,18.0,2.0,2.0,0.0,2.0,5,5,1.0,0.0,12.0,13.0,2.0,2,1.0,3,3,1,1.0,4,1.0,3.0,0.0,0.0,0,2,1,2,5,6.0,0,5.0,1,1.0,3,2.0,0,4,2008,9.0,5.0,1,1.0,5.0,0.0,2,0,1,0,6,0,10,2,1
