PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolQC,Fence,MoSold,YrSold,SaleType,SaleCondition,Age,RemodAge,TotalSF,Remodeled,TotalPorchSF,TotalBath,MSSubClass_cat,Street_type,Street_10_Quantiles,Street_20_Quantiles,Street_30_Quantiles,Street_50_Quantiles,Prop_Addr,Street_name
909176150,856,126000,30,RL,0.0,7890,Pave,No_Alley,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,1Story,6,6,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,238.0,Unf,0.0,618.0,856.0,GasA,TA,Y,SBrkr,856,0,1.0,0.0,1,0,2,1,TA,4,Typ,1,Gd,Detchd,1939.0,Unf,2.0,399.0,TA,TA,Y,0,0,0,166,No_Pool,No_Fence,3,2010,WD ,Normal,71,60,1712.0,1,166,2.0,subclass30,AVE,group_4,group_7,group_11,group_17,"436 HAYWARD AVE, AMES, USA",HAYWARD_AVE
905476230,1049,139500,120,RL,42.0,4235,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,BrkFace,149.0,Gd,TA,CBlock,Gd,TA,Mn,GLQ,552.0,ALQ,393.0,104.0,1049.0,GasA,TA,Y,SBrkr,1049,0,1.0,0.0,2,0,2,1,Gd,5,Typ,0,No_Fireplace,Attchd,1984.0,Fin,1.0,266.0,TA,TA,Y,0,105,0,0,No_Pool,No_Fence,2,2009,WD ,Normal,25,25,2098.0,0,105,3.0,subclass120,ST,group_2,group_3,group_5,group_8,"3416 WEST ST, AMES, USA",WEST_ST
911128020,1001,124900,30,C (all),60.0,6060,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5,9,1930,2007,Hip,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,BrkTil,TA,TA,No,ALQ,737.0,Unf,0.0,100.0,837.0,GasA,Ex,Y,SBrkr,1001,0,0.0,0.0,1,0,2,1,Gd,5,Typ,0,No_Fireplace,Detchd,1930.0,Unf,1.0,216.0,TA,Po,N,154,0,42,0,No_Pool,No_Fence,11,2007,WD ,Normal,77,0,1838.0,1,128,1.0,subclass30,ST,group_2,group_3,group_5,group_8,"320 S 2ND ST, AMES, USA",S_2ND_ST
535377150,1039,114000,70,RL,80.0,8146,Pave,No_Alley,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,8,1900,2003,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,Gd,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,405.0,405.0,GasA,Gd,Y,SBrkr,717,322,0.0,0.0,1,0,2,1,TA,6,Typ,0,No_Fireplace,Detchd,1940.0,Unf,1.0,281.0,TA,TA,N,0,0,168,111,No_Pool,No_Fence,5,2009,WD ,Normal,109,6,1444.0,1,279,1.0,subclass70,AVE,group_3,group_6,group_8,group_13,"1524 DOUGLAS AVE, AMES, USA",DOUGLAS_AVE
534177230,1665,227000,60,RL,70.0,8400,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,8,6,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,643.0,Unf,0.0,167.0,810.0,GasA,Ex,Y,SBrkr,810,855,1.0,0.0,2,1,3,1,Gd,6,Typ,0,No_Fireplace,Attchd,2001.0,Fin,2.0,528.0,TA,TA,Y,0,45,0,0,No_Pool,No_Fence,11,2009,WD ,Normal,8,8,2475.0,0,45,3.5,subclass60,AVE,group_7,group_14,group_21,group_35,"2304 FILLMORE AVE, AMES, USA",FILLMORE_AVE
908128060,1922,198500,85,RL,64.0,7301,Pave,No_Alley,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,7,5,2003,2003,Gable,CompShg,HdBoard,HdBoard,BrkFace,500.0,Gd,TA,Slab,No_Bsmt,No_Bsmt,No_Bsmt,No_Bsmt,0.0,No_Bsmt,0.0,0.0,0.0,GasA,Ex,Y,SBrkr,495,1427,0.0,0.0,3,0,4,1,Gd,7,Typ,1,Ex,BuiltIn,2003.0,RFn,2.0,672.0,TA,TA,Y,0,0,177,0,No_Pool,No_Fence,7,2009,ConLD,Normal,6,6,1922.0,0,177,3.0,subclass85,DR,group_5,group_9,group_13,group_22,"4003 MARIGOLD DR, AMES, USA",MARIGOLD_DR
902135020,936,93000,20,RM,60.0,6000,Pave,Pave,Reg,Bnk,AllPub,Inside,Mod,OldTown,Norm,Norm,2fmCon,1Story,4,4,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0.0,Fa,TA,CBlock,Fa,TA,No,Unf,0.0,Unf,0.0,936.0,936.0,GasA,TA,N,SBrkr,936,0,0.0,0.0,1,0,2,1,TA,4,Min2,0,No_Fireplace,Detchd,1974.0,Unf,2.0,576.0,TA,TA,Y,0,32,112,0,No_Pool,No_Fence,2,2009,WD ,Normal,56,56,1872.0,0,144,1.0,subclass20,ST,group_2,group_3,group_4,group_6,"212 10TH ST, AMES, USA",10TH_ST
528228540,1246,187687,20,RL,53.0,3710,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,1Fam,1Story,7,5,2007,2008,Gable,CompShg,WdShing,Wd Shng,BrkFace,20.0,Gd,TA,PConc,Gd,TA,Gd,Unf,0.0,Unf,0.0,1146.0,1146.0,GasA,Ex,Y,SBrkr,1246,0,0.0,0.0,2,0,2,1,Gd,5,Typ,1,Gd,Attchd,2007.0,Fin,2.0,428.0,TA,TA,Y,100,24,0,0,No_Pool,No_Fence,3,2008,New,Partial,1,0,2392.0,1,24,2.0,subclass20,DR,group_8,group_15,group_22,group_36,"2431 LAKESIDE DR, AMES, USA",LAKESIDE_DR
923426010,889,137500,20,RL,74.0,12395,Pave,No_Alley,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,6,1984,1984,Gable,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,647.0,Unf,0.0,217.0,864.0,GasA,TA,Y,SBrkr,889,0,0.0,0.0,1,0,3,1,TA,6,Typ,0,No_Fireplace,Attchd,1984.0,Unf,2.0,484.0,TA,TA,Y,0,0,0,0,No_Pool,No_Fence,4,2008,WD ,Normal,24,24,1753.0,0,0,1.0,subclass20,RD,group_3,group_5,group_7,group_12,"602 KEN MARIL RD, AMES, USA",KEN_MARIL_RD
908186050,1072,140000,180,RM,35.0,3675,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,TA,TA,PConc,Gd,TA,Gd,GLQ,467.0,Unf,0.0,80.0,547.0,GasA,Ex,Y,SBrkr,1072,0,1.0,0.0,1,0,2,1,Gd,5,Typ,0,No_Fireplace,Basment,2005.0,Fin,2.0,525.0,TA,TA,Y,0,44,0,0,No_Pool,No_Fence,5,2007,WD ,Normal,2,2,1619.0,0,44,2.0,subclass180,DR,group_5,group_9,group_13,group_22,"3901 MARIGOLD DR, AMES, USA",MARIGOLD_DR
