PID,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,BsmtFullBath,BsmtHalfBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageQual,PavedDrive,Fence,MoSold,YrSold,SaleType,SaleCondition,Age,RemodAge,TotalSF,Remodeled,TotalBath,MSSubClass_cat,Street_type,Neighborhood_st,TotalOutdoorSF
909176150,126000,30,RL,0.0,7890,Pave,No_Alley,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,1Story,6,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,CBlock,3,3,1,238.0,0.0,618.0,GasA,2,Y,SBrkr,1.0,0.0,0,2,1,2,4,Typ,1,Detchd,1,2.0,3,Y,0,3,2010,WD ,Normal,71,60,1712.0,1,2.0,subclass30,AVE,SWISU_HAYWARD_AVE,166
905476230,139500,120,RL,42.0,4235,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,1Story,5,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,149.0,2,CBlock,4,3,2,552.0,393.0,104.0,GasA,2,Y,SBrkr,1.0,0.0,0,2,1,3,5,Typ,0,Attchd,3,1.0,3,Y,0,2,2009,WD ,Normal,25,25,2098.0,0,3.0,subclass120,ST,Edwards_WEST_ST,105
911128020,124900,30,C (all),60.0,6060,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5,9,Hip,CompShg,MetalSd,MetalSd,None,0.0,2,BrkTil,3,3,1,737.0,0.0,100.0,GasA,4,Y,SBrkr,0.0,0.0,0,2,1,3,5,Typ,0,Detchd,1,1.0,3,N,0,11,2007,WD ,Normal,77,0,1838.0,1,1.0,subclass30,ST,IDOTRR_S_2ND_ST,282
535377150,114000,70,RL,80.0,8146,Pave,No_Alley,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,8,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,BrkTil,2,3,1,0.0,0.0,405.0,GasA,3,Y,SBrkr,0.0,0.0,0,2,1,2,6,Typ,0,Detchd,1,1.0,3,N,0,5,2009,WD ,Normal,109,6,1444.0,1,1.0,subclass70,AVE,OldTown_DOUGLAS_AVE,279
534177230,227000,60,RL,70.0,8400,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,8,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,PConc,4,3,1,643.0,0.0,167.0,GasA,4,Y,SBrkr,1.0,0.0,1,3,1,3,6,Typ,0,Attchd,3,2.0,3,Y,0,11,2009,WD ,Normal,8,8,2475.0,0,3.5,subclass60,AVE,NWAmes_FILLMORE_AVE,45
908128060,198500,85,RL,64.0,7301,Pave,No_Alley,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,7,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,500.0,2,Slab,0,0,0,0.0,0.0,0.0,GasA,4,Y,SBrkr,0.0,0.0,0,4,1,3,7,Typ,1,BuiltIn,2,2.0,3,Y,0,7,2009,ConLD,Normal,6,6,1922.0,0,3.0,subclass85,DR,Edwards_MARIGOLD_DR,177
902135020,93000,20,RM,60.0,6000,Pave,Pave,Reg,Bnk,AllPub,Inside,Mod,OldTown,Norm,Norm,2fmCon,1Story,4,4,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,CBlock,2,3,1,0.0,0.0,936.0,GasA,2,N,SBrkr,0.0,0.0,0,2,1,2,4,Min2,0,Detchd,1,2.0,3,Y,0,2,2009,WD ,Normal,56,56,1872.0,0,1.0,subclass20,ST,OldTown_10TH_ST,144
528228540,187687,20,RL,53.0,3710,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,WdShing,Wd Shng,BrkFace,20.0,2,PConc,4,3,3,0.0,0.0,1146.0,GasA,4,Y,SBrkr,0.0,0.0,0,2,1,3,5,Typ,1,Attchd,3,2.0,3,Y,0,3,2008,New,Partial,1,0,2392.0,1,2.0,subclass20,DR,Blmngtn_LAKESIDE_DR,124
923426010,137500,20,RL,74.0,12395,Pave,No_Alley,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,Plywood,None,0.0,2,CBlock,3,3,1,647.0,0.0,217.0,GasA,2,Y,SBrkr,0.0,0.0,0,3,1,2,6,Typ,0,Attchd,1,2.0,3,Y,0,4,2008,WD ,Normal,24,24,1753.0,0,1.0,subclass20,RD,Mitchel_KEN_MARIL_RD,0
908186050,140000,180,RM,35.0,3675,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,2,PConc,4,3,3,467.0,0.0,80.0,GasA,4,Y,SBrkr,1.0,0.0,0,2,1,3,5,Typ,0,Basment,3,2.0,3,Y,0,5,2007,WD ,Normal,2,2,1619.0,0,2.0,subclass180,DR,Edwards_MARIGOLD_DR,44
528186170,219500,120,RL,48.0,6240,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,196.0,2,PConc,4,3,1,24.0,0.0,1318.0,GasA,4,Y,SBrkr,0.0,0.0,0,2,1,3,6,Typ,1,Attchd,2,2.0,3,Y,0,2,2008,WD ,Normal,2,1,2684.0,1,2.0,subclass120,AVE,NridgHt_CHILTON_AVE,35
923426070,136000,60,RL,63.0,10475,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,5,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,PConc,4,3,1,458.0,0.0,166.0,GasA,3,Y,SBrkr,0.0,0.0,1,3,1,2,6,Typ,0,Detchd,1,2.0,3,Y,2,3,2010,WD ,Normal,19,19,1898.0,0,1.5,subclass60,RD,Mitchel_KEN_MARIL_RD,22
902204080,80000,30,RM,62.0,7404,Pave,No_Alley,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,BrkTil,2,3,1,0.0,0.0,861.0,GasA,2,Y,SBrkr,0.0,0.0,0,2,1,2,5,Typ,0,Detchd,1,2.0,3,N,0,11,2009,Oth,Normal,89,59,1722.0,1,1.0,subclass30,AVE,OldTown_CARROLL_AVE,128
535105100,159000,20,RL,0.0,9500,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,2,CBlock,4,3,1,609.0,0.0,785.0,GasA,3,Y,SBrkr,1.0,0.0,1,3,1,2,6,Typ,2,Attchd,2,2.0,3,Y,0,7,2009,WD ,Normal,46,46,2788.0,0,2.5,subclass20,AVE,NAmes_KELLOGG_AVE,261
907405020,214000,20,RL,70.0,9135,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,2,PConc,4,3,4,810.0,0.0,726.0,GasA,4,Y,SBrkr,1.0,0.0,0,3,1,3,7,Typ,0,Attchd,2,2.0,3,Y,0,12,2008,WD ,Normal,6,5,3072.0,1,3.0,subclass20,AVE,CollgCr_TENNYSON_AVE,266
531382110,163000,60,RL,50.0,8480,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,2,PConc,4,3,1,602.0,0.0,284.0,GasA,4,Y,SBrkr,0.0,1.0,1,3,1,3,7,Typ,0,Attchd,2,2.0,3,Y,0,10,2008,WD ,Normal,15,14,2566.0,1,3.0,subclass60,ST,SawyerW_MARYLAND_ST,240
