PID,SalePrice,GrLivArea,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolQC,Fence,MoSold,YrSold,SaleType,SaleCondition,Age,RemodAge,TotalSF,Remodeled,TotalPorchSF,TotalBath,MSSubClass_cat,Street_type,Neighborhood_st
534477270,165500,1661,RL,80.0,9600,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,6,1955,1996,Hip,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,CBlock,TA,TA,Av,BLQ,831.0,Unf,0.0,161.0,992.0,GasA,Gd,Y,SBrkr,1661,0,1.0,0.0,1,0,3,1,Gd,8,Typ,1,TA,BuiltIn,1955.0,RFn,1.0,377.0,TA,TA,Y,0,28,0,178,No_Pool,MnPrv,10,2008,WD ,Normal,53,12,2653.0,1,206,2.0,subclass80,AVE,NAmes_MARSTON_AVE
903233140,132000,854,RM,51.0,6120,Pave,No_Alley,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,832.0,832.0,GasA,Ex,Y,FuseA,854,0,0.0,0.0,1,0,2,1,TA,5,Typ,0,No_Fireplace,Detchd,1991.0,Unf,2.0,576.0,TA,TA,Y,48,112,0,0,No_Pool,GdPrv,7,2007,WD ,Normal,78,6,1686.0,1,112,1.0,subclass45,AVE,BrkSide_ROOSEVELT_AVE
923228370,85500,1092,RM,21.0,1890,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,4,6,1972,1972,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,294.0,Unf,0.0,252.0,546.0,GasA,TA,Y,SBrkr,546,546,0.0,0.0,1,1,3,1,TA,5,Typ,0,No_Fireplace,Attchd,1972.0,Unf,1.0,286.0,TA,TA,Y,0,0,64,0,No_Pool,No_Fence,6,2010,WD ,Normal,38,38,1638.0,0,64,1.5,subclass160,DR,MeadowV_HARCOURT_DR
904101070,200500,3086,RL,138.0,18030,Pave,No_Alley,IR1,Bnk,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1.5Fin,5,6,1946,1994,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,152.0,BLQ,469.0,977.0,1598.0,GasA,TA,Y,SBrkr,1636,971,0.0,0.0,3,0,3,1,Ex,12,Maj1,1,Gd,No_Garage,-1.0,No_Garage,0.0,0.0,No_Garage,No_Garage,Y,122,0,0,0,No_Pool,MnPrv,3,2007,WD ,Normal,61,13,4684.0,1,0,3.0,subclass50,RD,ClearCr_ROSS_RD
533236040,174000,1441,FV,24.0,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,776.0,776.0,GasA,Ex,Y,SBrkr,764,677,0.0,0.0,2,1,2,1,Gd,5,Typ,0,No_Fireplace,Detchd,1999.0,Unf,2.0,492.0,TA,TA,Y,206,0,0,0,No_Pool,No_Fence,11,2007,WD ,Normal,8,7,2217.0,1,0,2.5,subclass160,DR,Somerst_BRISTOL_DR
910203100,72000,672,RM,61.0,8534,Pave,No_Alley,Reg,Low,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,4,4,1925,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,432.0,432.0,GasA,TA,N,FuseA,672,0,0.0,0.0,1,0,2,1,TA,4,Min1,0,No_Fireplace,No_Garage,-1.0,No_Garage,0.0,0.0,No_Garage,No_Garage,N,0,0,112,0,No_Pool,GdWo,6,2006,WD ,Normal,81,56,1104.0,1,112,1.0,subclass30,AVE,IDOTRR_S_RUSSELL_AVE
909176180,137000,1551,RL,60.0,10890,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,5,5,1938,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,LwQ,930.0,Unf,0.0,128.0,1058.0,GasA,TA,Y,SBrkr,1058,493,1.0,0.0,2,0,3,1,Fa,6,Typ,0,No_Fireplace,Detchd,1938.0,Unf,1.0,240.0,Fa,TA,Y,0,0,0,0,No_Pool,MnPrv,7,2006,WD ,Normal,68,56,2609.0,1,0,3.0,subclass50,AVE,SWISU_HAYWARD_AVE
528354100,279500,2125,RL,97.0,10990,Pave,No_Alley,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,851.0,Unf,0.0,213.0,1064.0,GasA,Ex,Y,SBrkr,1064,1061,1.0,0.0,2,1,4,1,Gd,12,Typ,2,TA,Attchd,1996.0,RFn,2.0,576.0,TA,TA,Y,168,0,0,0,No_Pool,No_Fence,6,2008,WD ,Normal,12,11,3189.0,1,0,3.5,subclass60,CIR,NoRidge_TUPELO_CIR
535375040,99800,713,RL,60.0,10410,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,3,8,1930,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,TA,TA,No,Unf,0.0,Unf,0.0,713.0,713.0,GasA,Ex,Y,SBrkr,713,0,0.0,0.0,1,0,2,1,Gd,5,Typ,0,No_Fireplace,Detchd,1936.0,Unf,1.0,371.0,Fa,Fa,N,0,75,161,0,No_Pool,No_Fence,10,2006,WD ,Normal,76,5,1426.0,1,236,1.0,subclass30,AVE,OldTown_KELLOGG_AVE
923275090,119500,923,RL,37.0,6951,Pave,No_Alley,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,1984,1985,Gable,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,658.0,Unf,0.0,218.0,876.0,GasA,TA,Y,SBrkr,923,0,1.0,0.0,1,0,3,1,TA,5,Typ,0,No_Fireplace,Attchd,1984.0,Unf,1.0,264.0,TA,TA,Y,362,0,0,0,No_Pool,MnPrv,10,2008,WD ,Normal,24,23,1799.0,1,0,2.0,subclass20,CIR,Mitchel_ELY_CIR
